Date,Price,Open,High,Low,Change %
12/31/2024,"9,419.00","9,416.40","9,445.29","9,395.78",0.03%
12/30/2024,"9,416.40","9,327.62","9,416.40","9,327.62",0.95%
12/27/2024,"9,327.62","9,376.69","9,388.29","9,327.62",-0.52%
12/26/2024,"9,376.69","9,414.96","9,435.26","9,362.29",-0.41%
12/25/2024,"9,414.96","9,435.21","9,457.34","9,406.82",-0.21%
12/24/2024,"9,435.21","9,402.02","9,435.21","9,319.90",0.35%
12/23/2024,"9,402.02","9,351.25","9,402.02","9,326.27",0.54%
12/20/2024,"9,351.25","9,273.05","9,385.02","9,272.75",0.84%
12/19/2024,"9,273.05","9,293.15","9,293.15","9,258.88",-0.22%
12/18/2024,"9,293.15","9,261.47","9,293.15","9,257.31",0.34%
12/17/2024,"9,261.47","9,280.18","9,289.26","9,258.64",-0.20%
12/16/2024,"9,280.18","9,265.10","9,286.76","9,264.48",0.16%
12/13/2024,"9,265.10","9,275.63","9,289.32","9,265.10",-0.11%
12/12/2024,"9,275.63","9,270.55","9,294.70","9,270.55",0.05%
12/11/2024,"9,270.55","9,249.90","9,270.55","9,249.90",0.22%
12/10/2024,"9,249.90","9,251.44","9,278.35","9,235.95",-0.02%
12/09/2024,"9,251.44","9,266.31","9,269.27","9,243.55",-0.16%
12/06/2024,"9,266.31","9,276.72","9,310.10","9,261.12",-0.11%
12/05/2024,"9,276.72","9,265.13","9,291.95","9,263.77",0.13%
12/04/2024,"9,265.13","9,234.80","9,306.58","9,234.80",0.33%
11/29/2024,"9,234.80","9,260.70","9,304.23","9,234.80",-0.28%
11/28/2024,"9,260.70","9,285.34","9,362.29","9,260.70",-0.27%
11/27/2024,"9,285.34","9,294.04","9,334.68","9,285.34",-0.09%
11/26/2024,"9,294.04","9,231.88","9,294.04","9,231.88",0.67%
11/25/2024,"9,231.88","9,231.65","9,297.55","9,231.65",0.00%
11/22/2024,"9,231.65","9,313.35","9,329.00","9,231.65",-0.88%
11/21/2024,"9,313.35","9,405.19","9,406.10","9,292.73",-0.98%
11/20/2024,"9,405.19","9,426.42","9,437.24","9,401.17",-0.23%
11/19/2024,"9,426.42","9,387.08","9,449.18","9,368.37",0.42%
11/18/2024,"9,387.08","9,443.14","9,469.24","9,387.08",-0.59%
11/15/2024,"9,443.14","9,399.56","9,467.08","9,381.58",0.46%
11/14/2024,"9,399.56","9,371.50","9,432.40","9,371.50",0.30%
11/13/2024,"9,371.50","9,419.69","9,428.49","9,354.82",-0.51%
11/12/2024,"9,419.69","9,435.87","9,445.59","9,417.33",-0.17%
11/11/2024,"9,435.87","9,449.25","9,466.45","9,425.30",-0.14%
11/08/2024,"9,449.25","9,466.21","9,476.68","9,434.47",-0.18%
11/07/2024,"9,466.21","9,424.93","9,471.77","9,393.78",0.44%
11/06/2024,"9,424.93","9,383.93","9,424.93","9,379.53",0.44%
11/05/2024,"9,383.93","9,330.54","9,383.93","9,311.87",0.57%
11/04/2024,"9,330.54","9,348.80","9,354.01","9,306.91",-0.20%
11/01/2024,"9,348.80","9,327.92","9,364.41","9,306.20",0.22%
10/31/2024,"9,327.92","9,327.54","9,329.17","9,301.42",0.00%
10/30/2024,"9,327.54","9,312.44","9,350.33","9,312.44",0.16%
10/29/2024,"9,312.44","9,307.68","9,312.55","9,287.75",0.05%
10/28/2024,"9,307.68","9,203.53","9,315.75","9,203.53",1.13%
10/25/2024,"9,203.53","9,195.86","9,233.69","9,195.86",0.08%
10/24/2024,"9,195.86","9,204.85","9,219.94","9,190.06",-0.10%
10/23/2024,"9,204.85","9,246.37","9,257.35","9,195.96",-0.45%
10/22/2024,"9,246.37","9,275.06","9,336.92","9,246.37",-0.31%
10/21/2024,"9,275.06","9,287.69","9,294.94","9,252.21",-0.14%
10/18/2024,"9,287.69","9,277.12","9,334.44","9,253.89",0.11%
10/17/2024,"9,277.12","9,305.52","9,333.30","9,277.12",-0.31%
10/16/2024,"9,305.52","9,282.85","9,311.58","9,272.48",0.24%
10/15/2024,"9,282.85","9,303.01","9,316.33","9,262.64",-0.22%
10/14/2024,"9,303.01","9,260.86","9,307.35","9,259.88",0.46%
10/11/2024,"9,260.86","9,246.66","9,273.51","9,246.66",0.11%
10/10/2024,"9,250.75","9,282.51","9,293.74","9,235.98",-0.34%
10/09/2024,"9,282.51","9,258.71","9,320.95","9,237.91",0.26%
