Date,Price,Open,High,Low,Change %
12/31/2005,"7,426.37","7,341.50","7,445.29","7,340.27",1.96%
12/29/2005,"7,283.55","7,269.66","7,383.30","7,257.57",0.20%
12/28/2005,"7,268.77","7,229.27","7,316.33","7,140.20",0.55%
12/27/2005,"7,229.27","7,335.57","7,348.91","7,222.53",-1.45%
12/26/2005,"7,335.57","7,431.29","7,469.60","7,298.67",-1.19%
12/25/2005,"7,423.74","6,810.77","7,423.74","6,704.27",9.04%
12/24/2005,"6,808.55","7,129.42","7,130.78","6,693.97",-4.59%
12/22/2005,"7,136.08","7,353.55","7,384.90","7,117.17",-3.02%
12/21/2005,"7,358.00","7,552.35","7,585.82","7,326.72",-2.57%
12/20/2005,"7,552.35","7,533.17","7,585.85","7,533.17",0.34%
12/19/2005,"7,526.51","7,482.09","7,556.43","7,457.88",0.50%
12/18/2005,"7,488.75","7,633.72","7,658.62","7,487.79",-1.90%
12/17/2005,"7,633.72","7,651.71","7,716.43","7,619.21",-0.21%
12/15/2005,"7,649.49","7,639.57","7,661.69","7,600.89",0.13%
12/14/2005,"7,639.57","7,682.08","7,748.60","7,614.13",-0.58%
12/13/2005,"7,684.30","7,700.05","7,704.75","7,496.27",-0.23%
12/12/2005,"7,702.27","7,907.44","7,911.63","7,680.90",-2.54%
12/11/2005,"7,903.00","7,841.54","7,949.08","7,841.07",0.81%
12/10/2005,"7,839.32","7,816.96","7,906.20","7,802.54",0.26%
12/08/2005,"7,819.18","7,691.39","7,819.58","7,691.39",1.63%
12/07/2005,"7,693.61","7,801.60","7,839.77","7,690.86",-1.41%
12/06/2005,"7,803.82","7,753.35","7,821.72","7,694.81",0.68%
12/05/2005,"7,751.13","7,745.37","7,832.19","7,734.53",0.07%
12/01/2005,"7,745.37","7,926.88","7,968.39","7,728.24",-2.26%
11/30/2005,"7,924.66","7,544.59","7,932.47","7,544.09",5.16%
11/29/2005,"7,535.71","7,608.22","7,765.00","7,535.71",-3.19%
11/28/2005,"7,784.20","8,025.91","8,027.12","7,782.31",-3.01%
11/27/2005,"8,025.91","8,187.03","8,191.88","8,019.85",-1.97%
11/26/2005,"8,187.03","8,056.27","8,195.69","8,051.24",1.59%
11/24/2005,"8,058.54","8,093.32","8,124.23","8,055.87",-0.40%
11/23/2005,"8,091.05","8,137.15","8,146.73","8,077.12",-0.57%
11/22/2005,"8,137.15","8,196.58","8,226.62","8,108.17",-0.70%
11/21/2005,"8,194.30","8,158.98","8,230.74","8,133.33",0.46%
11/20/2005,"8,156.71","8,223.55","8,230.54","8,011.99",-0.89%
11/19/2005,"8,230.37","8,359.04","8,483.28","8,230.12",-1.21%
11/17/2005,"8,331.22","8,296.11","8,333.45","8,275.79",0.37%
11/16/2005,"8,300.65","8,392.76","8,451.41","8,282.50",-1.12%
11/15/2005,"8,395.03","8,369.12","8,460.09","8,369.12",0.36%
11/14/2005,"8,364.57","8,166.70","8,408.91","8,161.49",2.45%
11/13/2005,"8,164.43","8,380.49","8,380.49","8,140.37",-2.58%
11/12/2005,"8,380.49","8,470.38","8,473.99","8,371.36",-1.09%
11/10/2005,"8,472.65","8,484.63","8,507.81","8,390.91",-0.14%
11/09/2005,"8,484.63","8,450.24","8,525.69","8,418.27",0.35%
11/08/2005,"8,454.78","8,456.25","8,487.73","8,433.13",-0.02%
11/07/2005,"8,456.25","8,459.56","8,487.01","8,392.86",-0.04%
11/06/2005,"8,459.56","8,446.10","8,544.67","8,446.10",0.24%
11/01/2005,"8,439.28","8,239.15","8,441.38","8,239.15",2.46%
10/31/2005,"8,236.88","8,229.97","8,272.74","8,222.21",0.14%
10/30/2005,"8,225.43","8,159.11","8,252.50","8,159.11",0.81%
10/29/2005,"8,159.11","8,043.94","8,197.24","8,043.94",1.40%
10/27/2005,"8,046.22","7,999.84","8,058.92","7,999.84",0.61%
10/26/2005,"7,997.57","7,997.00","8,054.96","7,995.13",0.04%
10/25/2005,"7,994.73","7,981.00","8,057.92","7,971.51",0.34%
10/24/2005,"7,967.37","8,010.05","8,037.40","7,908.43",-0.48%
10/23/2005,"8,005.50","8,004.89","8,058.03","7,953.81",-0.10%
10/22/2005,"8,013.23","8,031.42","8,088.48","8,001.43",-0.20%
10/20/2005,"8,029.15","7,912.87","8,045.15","7,910.40",1.38%
10/19/2005,"7,919.70","7,840.38","7,925.68","7,829.61",0.95%
10/18/2005,"7,844.93","7,845.84","7,903.03","7,826.75",-0.01%
